"Title: Population Distribution by Citizenship Status | The Henry J. Kaiser Family Foundation"
"Timeframe: 2014"
"Location","Citizen","Non-Citizen","Total",Footnotes
"United States","288340900","21871300","310212200","1"
"Alabama","4614800","99300","4714100"
"Alaska","682500","24100","706600"
"Arizona","6015800","540500","6556200"
"Arkansas","2778000","101900","2880000"
"California","32706700","5274800","37981600"
"Colorado","4906800","310300","5217000"
"Connecticut","3228600","251800","3480400"
"Delaware","864000","41300","905300"
"District of Columbia","569400","54100","623500"
"Florida","17606900","1824100","19431100"
"Georgia","9228200","564600","9792900"
"Hawaii","1248800","99300","1348100"
"Idaho","1534400","64500","1598800"
"Illinois","11713000","856400","12569400"
"Indiana","6195600","191100","6386700"
"Iowa","2911300","90800","3002100"
"Kansas","2687900","122800","2810700"
"Kentucky","4167900","101000","4268800"
"Louisiana","4403400","105100","4508500"
"Maine","1271100","22700","1293800"
"Maryland","5375300","444000","5819300"
"Massachusetts","6018800","487700","6506500"
"Michigan","9376500","306200","9682700"
"Minnesota","5118100","212200","5330400"
"Mississippi","2850900","35900","2886800"
"Missouri","5757200","113100","5870200"
"Montana","982300","11400","993700"
"Nebraska","1749300","74400","1823700"
"Nevada","2504500","290800","2795200"
"New Hampshire","1252500","34100","1286500"
"New Jersey","7883800","872300","8756200"
"New Mexico","1904800","131900","2036700"
"New York","17225300","1991100","19216400"
"North Carolina","9144400","488500","9632900"
"North Dakota","690800","17600","708400"
"Ohio","11036600","233700","11270300"
"Oklahoma","3602700","146800","3749500"
"Oregon","3664800","224800","3889600"
"Pennsylvania","11993600","374400","12368000"
"Rhode Island","949500","64200","1013700"
"South Carolina","4540400","134000","4674300"
"South Dakota","810100","11500","821600"
"Tennessee","6169500","205300","6374800"
"Texas","23402100","2878000","26280100"
"Utah","2738300","153500","2891800"
"Vermont","588900","11100","600000"
"Virginia","7489800","516100","8006000"
"Washington","6393300","494300","6887600"
"West Virginia","1778900","12700","1791600"
"Wisconsin","5460100","143500","5603600"
"Wyoming","552900","15600","568500"
"Puerto Rico","3461900","52100","3514000"

"Notes"
"Population and demographic data on are based on analysis of the Census Bureau’s American Community Survey (ACS) and may differ from other population estimates published yearly by the Census Bureau. U.S. and state population data displayed on this site are restricted to the civilian, non-institutionalized population for whom ACS collects and reports poverty information. Please note that in the past, population data posted to this site had used the Current Population Survey. We have replaced all previously-posted data, including data for previous years, with data based on ACS.   "
""
"Population numbers are rounded to the nearest 100."

"Sources"
"Kaiser Family Foundation estimates based on the Census Bureau's American Community Survey, 2008-2017."


Footnotes
"1. US total excludes Puerto Rico."
