"Title: Population Distribution by Citizenship Status | The Henry J. Kaiser Family Foundation"
"Timeframe: 2016"
"Location","Citizen","Non-Citizen","Total",Footnotes
"United States","292450300","22016100","314466400","1"
"Alabama","4636500","93600","4730100"
"Alaska","693700","21200","714900"
"Arizona","6230900","530000","6760900"
"Arkansas","2808600","86800","2895400"
"California","33205200","5237200","38442400"
"Colorado","5078800","319200","5398100"
"Connecticut","3225500","239600","3465100"
"Delaware","879300","45000","924300"
"District of Columbia","597200","47100","644400"
"Florida","18265300","1878700","20144000"
"Georgia","9407500","593500","10001000"
"Hawaii","1252700","111900","1364600"
"Idaho","1593600","57100","1650700"
"Illinois","11613900","877300","12491200"
"Indiana","6231000","200400","6431400"
"Iowa","2936000","94400","3030400"
"Kansas","2691100","125900","2817000"
"Kentucky","4200300","87300","4287700"
"Louisiana","4424300","106200","4530500"
"Maine","1271900","21800","1293800"
"Maryland","5406600","449900","5856500"
"Massachusetts","6057100","513500","6570600"
"Michigan","9380700","312800","9693500"
"Minnesota","5183400","209500","5392900"
"Mississippi","2855000","32400","2887300"
"Missouri","5772500","125600","5898000"
"Montana","1004000","11100","1015100"
"Nebraska","1756000","89000","1845000"
"Nevada","2585000","305400","2890400"
"New Hampshire","1257400","33900","1291300"
"New Jersey","7867400","895300","8762700"
"New Mexico","1916000","113300","2029400"
"New York","17225100","1996400","19221500"
"North Carolina","9371600","458400","9829900"
"North Dakota","712600","13300","725900"
"Ohio","11051200","227500","11278700"
"Oklahoma","3664000","136800","3800800"
"Oregon","3803100","211400","4014500"
"Pennsylvania","11977900","386800","12364700"
"Rhode Island","948700","65200","1013900"
"South Carolina","4662800","142500","4805300"
"South Dakota","816500","19300","835800"
"Tennessee","6262300","205400","6467700"
"Texas","24252100","2926300","27178300"
"Utah","2850600","148800","2999300"
"Vermont","591900","7700","599600"
"Virginia","7597700","483200","8080900"
"Washington","6593200","530900","7124100"
"West Virginia","1764900","16800","1781700"
"Wisconsin","5462500","160800","5623300"
"Wyoming","557000","12400","569400"
"Puerto Rico","3333300","45800","3379100"

"Notes"
"Population and demographic data on are based on analysis of the Census Bureau’s American Community Survey (ACS) and may differ from other population estimates published yearly by the Census Bureau. U.S. and state population data displayed on this site are restricted to the civilian, non-institutionalized population for whom ACS collects and reports poverty information. Please note that in the past, population data posted to this site had used the Current Population Survey. We have replaced all previously-posted data, including data for previous years, with data based on ACS.   "
""
"Population numbers are rounded to the nearest 100."

"Sources"
"Kaiser Family Foundation estimates based on the Census Bureau's American Community Survey, 2008-2017."


Footnotes
"1. US total excludes Puerto Rico."
