"Title: Population Distribution by Citizenship Status | The Henry J. Kaiser Family Foundation"
"Timeframe: 2012"
"Location","Citizen","Non-Citizen","Total",Footnotes
"United States","283658600","21718000","305376600","1"
"Alabama","4592300","103700","4696000"
"Alaska","683100","23200","706200"
"Arizona","5864000","522300","6386300"
"Arkansas","2776200","84000","2860200"
"California","31900000","5321400","37221500"
"Colorado","4740800","305100","5045900"
"Connecticut","3226900","252400","3479300"
"Delaware","847600","40400","888000"
"District of Columbia","542900","53000","596000"
"Florida","17059500","1817400","18876900"
"Georgia","9041500","574800","9616400"
"Hawaii","1223600","106700","1330300"
"Idaho","1508100","54300","1562500"
"Illinois","11621300","946600","12567900"
"Indiana","6148400","190400","6338800"
"Iowa","2897000","79100","2976000"
"Kansas","2673200","114300","2787500"
"Kentucky","4150200","84900","4235100"
"Louisiana","4361400","95700","4457000"
"Maine","1271800","20800","1292600"
"Maryland","5281200","441500","5722700"
"Massachusetts","5937000","473600","6410600"
"Michigan","9372900","286500","9659300"
"Minnesota","5050600","205700","5256300"
"Mississippi","2852600","32000","2884500"
"Missouri","5703200","127400","5830600"
"Montana","972300","6500","978700"
"Nebraska","1717700","77400","1795100"
"Nevada","2417900","293000","2710900"
"New Hampshire","1244000","36100","1280100"
"New Jersey","7791500","893900","8685500"
"New Mexico","1913900","125300","2039200"
"New York","16991200","2048900","19040100"
"North Carolina","8928000","511200","9439200"
"North Dakota","659600","12300","671900"
"Ohio","11007500","214600","11222100"
"Oklahoma","3546400","143100","3689500"
"Oregon","3610300","215200","3825500"
"Pennsylvania","11992200","355400","12347600"
"Rhode Island","939000","68900","1007900"
"South Carolina","4432900","136100","4569100"
"South Dakota","788100","12400","800400"
"Tennessee","6099800","177600","6277400"
"Texas","22641100","2743300","25384300"
"Utah","2652900","148800","2801700"
"Vermont","591400","9300","600700"
"Virginia","7380000","485500","7865500"
"Washington","6256600","476300","6732900"
"West Virginia","1790200","11600","1801800"
"Wisconsin","5418300","147800","5566100"
"Wyoming","548600","10300","559000"
"Puerto Rico","3577100","57000","3634000"

"Notes"
"Population and demographic data on are based on analysis of the Census Bureau’s American Community Survey (ACS) and may differ from other population estimates published yearly by the Census Bureau. U.S. and state population data displayed on this site are restricted to the civilian, non-institutionalized population for whom ACS collects and reports poverty information. Please note that in the past, population data posted to this site had used the Current Population Survey. We have replaced all previously-posted data, including data for previous years, with data based on ACS.   "
""
"Population numbers are rounded to the nearest 100."

"Sources"
"Kaiser Family Foundation estimates based on the Census Bureau's American Community Survey, 2008-2017."


Footnotes
"1. US total excludes Puerto Rico."
