"Title: Population Distribution by Citizenship Status | The Henry J. Kaiser Family Foundation"
"Timeframe: 2017"
"Location","Citizen","Non-Citizen","Total",Footnotes
"United States","294959400","22063200","317022500","1"
"Alabama","4634800","106600","4741400"
"Alaska","685500","24700","710100"
"Arizona","6322100","519200","6841300"
"Arkansas","2815100","94900","2910000"
"California","33655700","5058200","38713900"
"Colorado","5151900","309200","5461100"
"Connecticut","3228500","250200","3478700"
"Delaware","885800","45900","931700"
"District of Columbia","596900","60700","657600"
"Florida","18602800","1929500","20532300"
"Georgia","9536300","585200","10121400"
"Hawaii","1255600","100500","1356100"
"Idaho","1628400","53800","1682100"
"Illinois","11608500","888100","12496600"
"Indiana","6250000","209400","6459400"
"Iowa","2952100","93500","3045600"
"Kansas","2702900","114600","2817600"
"Kentucky","4204100","102900","4307100"
"Louisiana","4433400","108200","4541500"
"Maine","1280800","19400","1300200"
"Maryland","5452000","440900","5892900"
"Massachusetts","6092200","528400","6620600"
"Michigan","9382700","337700","9720300"
"Minnesota","5230700","215900","5446600"
"Mississippi","2854200","30200","2884500"
"Missouri","5799900","121400","5921300"
"Montana","1011600","11000","1022600"
"Nebraska","1773400","85800","1859200"
"Nevada","2646600","3.00E+05","2946600"
"New Hampshire","1258500","38500","1297000"
"New Jersey","7919900","904000","8823900"
"New Mexico","1931300","106900","2038200"
"New York","17376500","1939100","19315700"
"North Carolina","9450000","498700","9948800"
"North Dakota","707800","18200","726000"
"Ohio","11078400","245200","11323500"
"Oklahoma","3663700","140100","3803700"
"Oregon","3847600","215400","4063000"
"Pennsylvania","11987300","401800","12389100"
"Rhode Island","954100","61800","1015900"
"South Carolina","4732300","132400","4864600"
"South Dakota","820900","16100","837000"
"Tennessee","6330900","207200","6538200"
"Texas","24619400","3001800","27621300"
"Utah","2885100","162300","3047400"
"Vermont","586400","13800","600200"
"Virginia","7646600","494100","8140700"
"Washington","6693700","546100","7239800"
"West Virginia","1749300","12900","1762100"
"Wisconsin","5494800","148100","5643000"
"Wyoming","550500","12800","563300"
"Puerto Rico","3261800","43000","3304800"

"Notes"
"Population and demographic data on are based on analysis of the Census Bureau’s American Community Survey (ACS) and may differ from other population estimates published yearly by the Census Bureau. U.S. and state population data displayed on this site are restricted to the civilian, non-institutionalized population for whom ACS collects and reports poverty information. Please note that in the past, population data posted to this site had used the Current Population Survey. We have replaced all previously-posted data, including data for previous years, with data based on ACS.   "
""
"Population numbers are rounded to the nearest 100."

"Sources"
"Kaiser Family Foundation estimates based on the Census Bureau's American Community Survey, 2008-2017."


Footnotes
"1. US total excludes Puerto Rico."
